datetime,generacion_biogas_mwh
2016-04-06,78.42599999999999
2016-04-07,78.66
2016-04-08,84.37599999999999
2016-04-09,100.137
2016-04-10,84.765
2016-04-11,67.321
2016-04-12,75.992
2016-04-13,86.749
2016-04-14,97.863
2016-04-15,107.28
2016-04-16,109.775
2016-04-17,93.341
2016-04-18,74.785
2016-04-19,79.846
2016-04-20,94.00099999999999
2016-04-21,91.26700000000001
2016-04-22,98.716
2016-04-23,103.923
2016-04-24,80.104
2016-04-25,70.255
2016-04-26,75.199
2016-04-27,88.997
2016-04-28,91.27
2016-04-29,103.152
2016-04-30,108.86
2016-05-01,85.026
2016-05-02,65.27
2016-05-03,62.804
2016-05-04,82.662
2016-05-05,90.295
2016-05-06,104.60300000000001
2016-05-07,109.836
2016-05-08,77.342
2016-05-09,57.30199999999999
2016-05-10,81.521
2016-05-11,86.677
2016-05-12,89.705
2016-05-13,97.432
2016-05-14,97.836
2016-05-15,82.63600000000001
2016-05-16,62.95100000000001
2016-05-17,67.735
2016-05-18,61.018
2016-05-19,74.71300000000001
2016-05-20,83.714
2016-05-21,97.563
2016-05-22,81.632
2016-05-23,69.563
2016-05-24,75.519
2016-05-25,81.441
2016-05-26,85.62
2016-05-27,87.426
2016-05-28,105.219
2016-05-29,88.81700000000001
2016-05-30,72.703
2016-05-31,77.236
2016-06-01,84.75800000000001
2016-06-02,92.431
2016-06-03,94.45100000000001
2016-06-04,96.087
2016-06-05,82.34100000000001
2016-06-06,64.186
2016-06-07,91.084
2016-06-08,96.009
2016-06-09,106.925
2016-06-10,107.58500000000001
2016-06-11,108.381
2016-06-12,94.31700000000001
2016-06-13,78.595
2016-06-14,90.356
2016-06-15,87.784
2016-06-16,89.186
2016-06-17,83.4
2016-06-18,82.49
2016-06-19,72.886
2016-06-20,86.028
2016-06-21,82.125
2016-06-22,86.709
2016-06-23,78.771
2016-06-24,76.657
2016-06-25,69.401
2016-06-26,61.792
2016-06-27,68.957
2016-06-28,77.94800000000001
2016-06-29,59.54
2016-06-30,76.14800000000001
2016-07-01,66.695
2016-07-02,68.084
2016-07-03,58.298
2016-07-04,58.489999999999995
2016-07-05,70.129
2016-07-06,59.983999999999995
2016-07-07,75.353
2016-07-08,71.557
2016-07-09,68.122
2016-07-10,67.711
2016-07-11,59.851
2016-07-12,61.811
2016-07-13,66.16699999999999
2016-07-14,77.319
2016-07-15,81.287
2016-07-16,59.423
2016-07-17,52.336
2016-07-18,66.565
2016-07-19,69.008
2016-07-20,76.355
2016-07-21,76.129
2016-07-22,79.38199999999999
2016-07-23,76.671
2016-07-24,72.41699999999999
2016-07-25,64.39699999999999
2016-07-26,67.346
2016-07-27,84.413
2016-07-28,92.487
2016-07-29,80.13900000000001
2016-07-30,79.40299999999999
2016-07-31,75.497
2016-08-01,85.459
2016-08-02,75.83200000000001
2016-08-03,101.119
2016-08-04,95.73100000000001
2016-08-05,98.06700000000001
2016-08-06,112.12
2016-08-07,105.862
2016-08-08,101.607
2016-08-09,98.765
2016-08-10,86.764
2016-08-11,79.10600000000001
2016-08-12,80.853
2016-08-13,84.381
2016-08-14,71.754
2016-08-15,56.561
2016-08-16,57.464999999999996
2016-08-17,85.789
2016-08-18,86.574
2016-08-19,90.98400000000001
2016-08-20,82.691
2016-08-21,79.202
2016-08-22,70.33999999999999
2016-08-23,85.922
2016-08-24,85.815
2016-08-25,65.294
2016-08-26,85.70299999999999
2016-08-27,78.17
2016-08-28,71.21
2016-08-29,64.99
2016-08-30,71.796
2016-08-31,75.42699999999999
2016-09-01,81.81099999999999
2016-09-02,84.974
2016-09-03,92.036
2016-09-04,85.196
2016-09-05,80.449
2016-09-06,85.454
2016-09-07,92.011
2016-09-08,81.003
2016-09-09,87.768
2016-09-10,91.653
2016-09-11,85.328
2016-09-12,78.707
2016-09-13,85.811
2016-09-14,92.114
2016-09-15,95.408
2016-09-16,96.114
2016-09-17,92.75200000000001
2016-09-18,86.676
2016-09-19,95.967
2016-09-20,100.827
2016-09-21,90.06099999999999
2016-09-22,96.105
2016-09-23,99.357
2016-09-24,93.334
2016-09-25,81.875
2016-09-26,80.473
2016-09-27,90.31700000000001
2016-09-28,98.06
2016-09-29,92.936
2016-09-30,86.331
2016-10-01,75.159
2016-10-02,67.836
2016-10-03,70.625
2016-10-04,71.904
2016-10-05,76.515
2016-10-06,77.755
2016-10-07,87.68299999999999
2016-10-08,82.887
2016-10-09,73.36
2016-10-10,59.982
2016-10-11,70.249
2016-10-12,81.091
2016-10-13,79.979
2016-10-14,77.285
2016-10-15,92.092
2016-10-16,73.411
2016-10-17,61.163000000000004
2016-10-18,84.455
2016-10-19,79.743
2016-10-20,84.987
2016-10-21,88.596
2016-10-22,80.943
2016-10-23,65.262
2016-10-24,75.903
2016-10-25,92.91
2016-10-26,93.818
2016-10-27,100.622
2016-10-28,106.831
2016-10-29,121.793
2016-10-30,96.609
2016-10-31,95.218
2016-11-01,79.16499999999999
2016-11-02,72.645
2016-11-03,82.093
2016-11-04,80.60900000000001
2016-11-05,84.831
2016-11-06,69.729
2016-11-07,71.178
2016-11-08,87.616
2016-11-09,91.47399999999999
2016-11-10,99.985
2016-11-11,105.28800000000001
2016-11-12,100.949
2016-11-13,88.572
2016-11-14,69.995
2016-11-15,86.21199999999999
2016-11-16,88.105
2016-11-17,93.93599999999999
2016-11-18,93.777
2016-11-19,102.247
2016-11-20,80.607
2016-11-21,75.606
2016-11-22,88.937
2016-11-23,79.285
2016-11-24,84.849
2016-11-25,88.46199999999999
2016-11-26,68.392
2016-11-27,54.125
2016-11-28,72.762
2016-11-29,92.747
2016-11-30,96.97
2016-12-01,101.705
2016-12-02,103.46300000000001
2016-12-03,92.063
2016-12-04,73.917
2016-12-05,72.02199999999999
2016-12-06,63.519
2016-12-07,63.13
2016-12-08,57.007
2016-12-09,84.118
2016-12-10,68.005
2016-12-11,63.269999999999996
2016-12-12,65.159
2016-12-13,72.381
2016-12-14,70.626
2016-12-15,86.19800000000001
2016-12-16,95.22099999999999
2016-12-17,95.779
2016-12-18,91.07
2016-12-19,66.10000000000001
2016-12-20,79.519
2016-12-21,87.774
2016-12-22,92.994
2016-12-23,96.897
2016-12-24,94.759
2016-12-25,72.587
2016-12-26,46.295
2016-12-27,67.175
2016-12-28,76.4
2016-12-29,83.788
2016-12-30,88.294
2016-12-31,93.246
2017-01-01,73.178
2017-01-02,62.909
2017-01-03,87.36099999999999
2017-01-04,98.983
2017-01-05,97.29
2017-01-06,94.761
2017-01-07,73.501
2017-01-08,52.853
2017-01-09,73.41799999999999
2017-01-10,87.062
2017-01-11,102.31700000000001
2017-01-12,110.169
2017-01-13,123.713
2017-01-14,111.524
2017-01-15,86.98400000000001
2017-01-16,77.611
2017-01-17,95.46
2017-01-18,91.846
2017-01-19,103.47
2017-01-20,98.925
2017-01-21,102.447
2017-01-22,80.12599999999999
2017-01-23,67.788
2017-01-24,105.47999999999999
2017-01-25,107.286
2017-01-26,105.28500000000001
2017-01-27,105.76899999999999
2017-01-28,108.833
2017-01-29,90.979
2017-01-30,78.041
2017-01-31,96.998
2017-02-01,107.404
2017-02-02,89.87299999999999
2017-02-03,70.386
2017-02-04,64.298
2017-02-05,48.31
2017-02-06,37.851
2017-02-07,61.716
2017-02-08,83.855
2017-02-09,69.522
2017-02-10,80.156
2017-02-11,64.574
2017-02-12,54.545
2017-02-13,51.449999999999996
2017-02-14,53.498
2017-02-15,69.106
2017-02-16,71.18599999999999
2017-02-17,71.77000000000001
2017-02-18,75.593
2017-02-19,48.928000000000004
2017-02-20,51.801
2017-02-21,57.067
2017-02-22,64.867
2017-02-23,76.72699999999999
2017-02-24,58.048
2017-02-25,86.979
2017-02-26,67.43
2017-02-27,44.715
2017-02-28,46.191
2017-03-01,37.102
2017-03-02,58.235
2017-03-03,72.29
2017-03-04,71.969
2017-03-05,54.777
2017-03-06,54.879
2017-03-07,66.875
2017-03-08,79.078
2017-03-09,75.682
2017-03-10,86.425
2017-03-11,66.413
2017-03-12,82.953
2017-03-13,55.95399999999999
2017-03-14,55.894000000000005
2017-03-15,82.291
2017-03-16,86.01599999999999
2017-03-17,82.542
2017-03-18,81.813
2017-03-19,70.603
2017-03-20,58.201
2017-03-21,70.185
2017-03-22,74.578
2017-03-23,76.24
2017-03-24,87.287
2017-03-25,93.363
2017-03-26,74.987
2017-03-27,68.979
2017-03-28,65.116
